"","diff_otu","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Study","CI_low","CI_hig","Significant","taxonomy","Taxonomy","ID_Taxonomy","Taxon","diff_oral","Taxon_oral","taxon_oral","absFC"
"80","359079","28.3375220773765",3.68616160295574,"0.374836889718477","9.83404169670773","8.0328706855524e-23",6.42629654844192e-20,"PRJNA375772_Xi_an",2.95522966800471,4.41709353790676,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus"," s__anginosus","359079 
  s__anginosus","359079; s__anginosus","*","* 359079; s__anginosus","* 359079 
  s__anginosus",3.68616160295574
"108","4318284","22.0168739457133",3.41784904068544,"0.44613916387601","7.66094823640123","1.84565242381139e-14",3.28115986455358e-12,"PRJNA375772_Xi_an",2.54787767112722,4.28782041024366,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__"," g__Dialister","4318284 
  g__Dialister","4318284; g__Dialister","*","* 4318284; g__Dialister","* 4318284 
  g__Dialister",3.41784904068544
"92","4297119","21.4409215905562",3.37282941173848,"0.459005300474665","7.34812737075277","2.01002918226797e-13",1.40601541299644e-10,"PRJNA375772_Inner_Mongolia",2.47776907581289,4.26788974766408,"GC enriched","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4297119 
  g__Leptotrichia","4297119; g__Leptotrichia","*","* 4297119; g__Leptotrichia","* 4297119 
  g__Leptotrichia",3.37282941173848
"129","4396516","8.10370047956267",3.31166740310099,"0.286075798444304","11.5761886224211","5.44118488162603e-31",2.9201025531393e-29,"PRJNA481413",2.7538195961346,3.86951521006738,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__"," f__Lachnospiraceae","4396516 
  f__Lachnospiraceae","4396516; f__Lachnospiraceae",""," 4396516; f__Lachnospiraceae"," 4396516 
  f__Lachnospiraceae",3.31166740310099
"148","4458501","53.1244279198637",3.30354133487629,"0.437114182038526","7.55761645497269","4.10522431211231e-14",6.5683588993797e-12,"PRJNA375772_Xi_an",2.45116867990116,4.15591398985141,"GC enriched","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__"," g__Parvimonas","4458501 
  g__Parvimonas","4458501; g__Parvimonas","*","* 4458501; g__Parvimonas","* 4458501 
  g__Parvimonas",3.30354133487629
"169","509149","24.9200807158323",3.1881184759261,"0.439247183625994","7.25814210032748","3.92443165329178e-13",2.5424538809056e-12,"PRJEB26931",2.33158646785542,4.04465048399679,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__"," g__Lactobacillus","509149 
  g__Lactobacillus","509149; g__Lactobacillus","*","* 509149; g__Lactobacillus","* 509149 
  g__Lactobacillus",3.1881184759261
"136","4432270","8.38348162483357",3.096137783196,"0.395341329752905","7.83155605089693","4.81868434270079e-15",3.46219145729628e-14,"PRJEB26931",2.32522219017783,3.86705337621416,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__mucosae"," s__mucosae","4432270 
  s__mucosae","4432270; s__mucosae",""," 4432270; s__mucosae"," 4432270 
  s__mucosae",3.096137783196
"181","553611","16.1388849260706",3.04991892673234,"0.428997130022","7.10941568904187","1.16535263299832e-12",1.24304280853155e-10,"PRJNA375772_Xi_an",2.21337452318944,3.88646333027524,"GC enriched","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__"," g__Bifidobacterium","553611 
  g__Bifidobacterium","553611; g__Bifidobacterium","*","* 553611; g__Bifidobacterium","* 553611 
  g__Bifidobacterium",3.04991892673234
"8","1018784","6.59699173898372",3.00982367352077,"0.372015626070391","8.0905840039936","5.93793305670248e-16",1.357241841532e-13,"PRJNA375772_Xi_an",2.28439320268351,3.73525414435803,"GC enriched","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","1018784 
  g__Prevotella","1018784; g__Prevotella","*","* 1018784; g__Prevotella","* 1018784 
  g__Prevotella",3.00982367352077
"139","4432270","5.23743455366254",2.95166443396646,"0.285386068110238","10.342706823468","4.51598299922272e-25",1.67786137586506e-23,"PRJNA481413",2.3951616011515,3.50816726678143,"GC enriched","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__mucosae"," s__mucosae","4432270 
  s__mucosae","4432270; s__mucosae",""," 4432270; s__mucosae"," 4432270 
  s__mucosae",2.95166443396646
